Progress,Duration (in seconds),Finished,S1_1_1,S1_2_1,S2-1_1,S2-2_1,S3-1_1,S3-2_1,S4-1_1,S4-2_1,S5-1_1,S5-2_1,S6-1_1,S6-2_1,S7-1_1,S7-2_1,S8-1_1,S8-2_1,S9-1_1,S9-2_1,S10-1_1,S10-2_1,S11-1_1,S11-2_1,S12-1_1,S12-2_1,S13-1_1,S13-2_1,S14-1_1,S14-2_1,S15-1_1,S15-2_1,S16-1_1,S16-2_1,S17-1_1,S17-2_1,S18-1_1,S18-2_1,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A,S17A,S18A
100,411,TRUE,,,82,11,90,98,81,77,,,89,6,,,89,35,,,93,7,91,20,89,79,,,84,84,93,100,88,61,94,94,,,,43,Male,Asian / Pacific Islander,,Master's Degree (MS),Rung 6,,demand that the airline delays the flight,stage a robbery,lie that she left her card inside,,collect wood to start a fire,,make cat noises at him until he leaves,,steal whatever she has on her,ask to use the mall's loudspeaker,ask to check the knife,,buy his father a tent,serve engine fuel to the passengers,leave Todd to save herself,leave the store unattended,
100,335,TRUE,90,1,,,3,0,0,0,,,95,10,40,5,100,100,,,95,30,100,100,,,0,0,,,65,61,,,75,100,100,100,,27,Male,White / Caucasian,,College Graduate (4 year),Rung 6,take out a loan,,sell one of his kidneys,renew her membership,,steal all of the food and water,go without Ted,tackle him and hold him down,,turn invisible,light a fire under the car,,call the taxi company,,organize a fishing crew,,ask a friend to take over,hide him in the snow
100,378,TRUE,60,0,93,0,,,,,100,26,,,40,40,73,73,10,0,,,100,72,100,62,,,40,10,100,69,60,3,40,62,,,,37,Male,Asian / Pacific Islander,,College Graduate (4 year),Rung 6,go on strike for better wages,demand that the airline delays the flight,,,hypnotize the teacher,,go without Ted,wave to the parents,pull over and call 911,,light a fire under the car,threaten security with the knife,,check in on his father daily,serve engine fuel to the passengers,yell at Todd for getting stuck,leave the store unattended,
100,352,TRUE,100,10,80,20,,,,,80,20,95,20,,,100,60,,,,,100,0,75,25,,,90,20,45,40,100,85,100,5,80,0,,48,Male,White / Caucasian,,Master's Degree (MS),Rung 9,search for the medication on the black market,reschedule for a later flight,,,quickly try to redo the assignment,steal all of the food and water,,wave to the parents,,,slash the tires,store the knife in an airport locker,,pitch his situation to a reality TV network,ration their food,get her arm stuck in solidarity,call his lawyer,finish the race
100,358,TRUE,,,81,91,100,1,,,100,18,100,14,99,69,93,90,,,100,91,100,77,91,93,70,18,85,17,,,,,100,100,,,,39,Female,White / Caucasian,,Some College,Rung 2,,reschedule for a later flight,sell one of his kidneys,,lie that her house burnt down,steal all of the food and water,give her ticket to Ted,ask the parents if they know him,,steal whatever she has on her,slash the tires,store the knife in an airport locker,borrow their mom’s wedding ring,get another job,,,stage a break-in at the store,
100,319,TRUE,19,21,36,33,,,,,60,0,94,20,,,64,82,94,71,87,59,,,100,19,86,88,76,16,,,,,86,16,96,98,,35,Male,White / Caucasian,,College Graduate (4 year),Rung 7,start a fundraiser,reschedule for a later flight,,,call her mom,throw away all of the food,,read his mind,tailgate the car,yell in gibberish until she leaves,,threaten security with the knife,blame it on the maid of honor,move into his father’s apartment,,,tell his lawyer that he’s sick,steal his dogs for extra speed
100,401,TRUE,,,100,50,100,100,100,50,,,100,0,100,50,,,,,100,50,,,100,100,100,50,100,0,,,100,50,100,0,100,100,,26,Male,White / Caucasian,,High School or equivalent,Rung 3,,call a taxi,stage a robbery,pay for a day-pass to the gym,,huddle to conserve energy,give her ticket to Ted,,,steal whatever she has on her,,pretend the knife is part of a hip replacement,run away,get another job,,saw Todd’s arm off,call his lawyer,hide him in the snow
100,212,TRUE,45,35,32,42,64,68,58,61,,,,,57,64,60,61,,,36,40,50,32,,,,,44,42,60,63,43,41,56,57,,,,30,Male,Black / African American,,High School or equivalent,Rung 5,go on strike for better wages,steal a passing driver's car,sell one of his kidneys,crawl past the front desk,,,teleport into the concert,tackle him and hold him down,,steal whatever she has on her,call emergency services,,,pitch his situation to a reality TV network,serve engine fuel to the passengers,hike until she finds cell service,call his lawyer,
100,486,TRUE,,,65,33,100,100,100,77,95,73,100,13,,,,,59,3,100,84,,,80,42,100,33,100,83,60,20,,,100,100,,,,35,Male,White / Caucasian,,Doctoral Degree (PhD),Rung 4,,take a public bus,overcharge the next customers,pull the fire alarm,copy a friend's assignment,throw away all of the food,,,pull over and call 911,yell in gibberish until she leaves,,ask to check the knife,blame it on the maid of honor,abandon his father,organize a fishing crew,,stage a break-in at the store,
100,342,TRUE,,,65,70,,,31,11,61,30,83,65,32,19,,,19,10,80,82,,,82,79,19,12,94,80,,,70,18,81,19,,,,21,Female,White / Caucasian,,Some College,Rung 5,,try to convince a passing driver to trade cars,,borrow someone's phone,bring in the assignment the next day,search for a water source,try to buy a ticket off another person,,pull over and call 911,refuse to drive her,,pretend the knife is part of a hip replacement,call the taxi company,abandon his father,,give Todd her water,tell his lawyer that he’s sick,
